bpd,alpha,allocator,code_bytes,bits_sum,bits_per_byte,mse,r@1,r@10,r@100,fit_s,widths
4,1.0,greedy_bytes,64,512,8.0,10.132360625,0.701,0.7870999999999949,0.8536999999999962,11.1,"{0: 4, 1: 10, 2: 20, 3: 23, 4: 21, 5: 21, 6: 9, 7: 10, 8: 10}"
4,1.0,lp,64,512,8.0,9.3601153125,0.711,0.7871999999999948,0.852659999999996,11.1,"{0: 2, 1: 10, 2: 22, 3: 24, 4: 22, 5: 20, 6: 8, 7: 10, 8: 10}"
6,1.0,greedy_bytes,96,696,7.25,1.729016875,0.786,0.8396999999999926,0.8910400000000026,11.1,"{2: 5, 3: 13, 4: 28, 5: 26, 6: 15, 7: 13, 8: 28}"
6,1.0,lp,96,768,8.0,1.3529553125,0.799,0.8436999999999925,0.8947300000000028,11.1,"{2: 1, 3: 17, 4: 28, 5: 17, 6: 1, 8: 64}"
