bpd,alpha,allocator,code_bytes,bits_sum,bits_per_byte,mse,r@1,r@10,r@100,fit_s,widths
4,1.0,greedy_bytes,512,3673,7.174,8.219572007656097e-06,0.939,0.9729999999999956,0.9789000000000115,9.7,"{0: 259, 1: 63, 2: 65, 3: 70, 4: 110, 5: 174, 6: 121, 7: 62, 8: 100}"
4,1.0,lp,512,4096,8.0,5.352558791637421e-06,0.951,0.9751999999999962,0.9811000000000103,11.6,"{0: 172, 1: 89, 2: 95, 3: 101, 4: 110, 5: 101, 6: 95, 7: 89, 8: 172}"
6,1.0,greedy_bytes,768,6104,7.948,6.043430790305138e-07,0.956,0.9783999999999965,0.9844300000000094,8.0,"{0: 4, 1: 34, 2: 84, 3: 103, 4: 92, 5: 77, 6: 63, 7: 74, 8: 493}"
6,1.0,lp,768,6144,8.0,5.971378460526466e-07,0.955,0.9783999999999965,0.9844400000000095,12.1,"{0: 3, 1: 40, 2: 77, 3: 95, 4: 94, 5: 83, 6: 71, 7: 40, 8: 521}"
