avg_bits,codebook,mse,r@1,r@10,r@100,comp,bits_sum,fit_s
2,gaussian,2.7219077152033848e-05,0.929,0.9453999999999927,0.9575700000000131,15.835051546391753,3072,26.374226808547974
2,lloyd,2.7111941315108277e-05,0.926,0.9465999999999931,0.9603700000000146,15.835051546391753,3072,36.6502640247345
2,exact,2.709028777048644e-05,0.93,0.9482999999999934,0.9608900000000142,15.835051546391753,3072,62.04048681259155
4,gaussian,2.711400640532625e-06,0.972,0.9817999999999973,0.9844000000000099,7.9073359073359075,6144,30.906052827835083
4,lloyd,2.5912364725312e-06,0.984,0.9868999999999981,0.9887900000000075,7.9073359073359075,6144,46.90379881858826
4,exact,2.5782443658270015e-06,0.987,0.9860999999999979,0.9890300000000073,7.9073359073359075,6144,149.0287311077118
6,gaussian,2.902709198519838e-07,0.982,0.9843999999999977,0.9887100000000076,4.379187455452602,9216,32.27106595039368
6,lloyd,1.823616838114029e-07,0.993,0.9944999999999992,0.9946100000000039,4.379187455452602,9216,62.44236993789673
6,exact,1.7735188958620785e-07,0.996,0.9942999999999991,0.994460000000004,4.379187455452602,9216,369.15317034721375
