avg_bits,alpha,mse,r@1,r@10,r@100,bits_sum,dense_bytes,ffd_bytes,ffd_overhead_pct,comp_ffd,comp_dense
1,0.0,7.463048363374138e-05,0.809,0.8535999999999917,0.8842699999999986,1536,192,192,0.0,31.346938775510203,31.346938775510203
1,0.5,7.965575324164497e-05,0.837,0.8745999999999909,0.9030999999999952,1536,192,192,0.0,31.346938775510203,31.346938775510203
2,0.0,2.389820497044008e-05,0.916,0.9250999999999914,0.9424800000000046,3072,384,384,0.0,15.835051546391753,15.835051546391753
2,0.5,2.7219077152033848e-05,0.929,0.9453999999999927,0.9575700000000131,3072,384,384,0.0,15.835051546391753,15.835051546391753
3,0.0,7.436800886083532e-06,0.938,0.9560999999999936,0.9656900000000148,4608,576,576,0.0,10.593103448275862,10.593103448275862
3,0.5,9.061033075506037e-06,0.959,0.9687999999999953,0.9759100000000133,4608,576,576,0.0,10.593103448275862,10.593103448275862
4,0.0,2.2403744334725017e-06,0.964,0.9716999999999957,0.9790200000000122,6144,768,807,5.078125,7.5758323057953145,7.958549222797927
4,0.5,2.711400640532625e-06,0.972,0.9817999999999973,0.9844000000000099,6144,768,773,0.6510416666666666,7.9073359073359075,7.958549222797927
