avg_bits,budget,dist_optimal,dist_greedy,dist_bennett,ratio_greedy_opt,ratio_bennett_opt,greedy_bits_used,bennett_bits_used
1.0,1536,0.11451844198895234,0.11451844198895234,0.12487506510378299,1.0,1.0904362907402265,1536,1536
2.0,3072,0.03660246013136603,0.03660246013136603,0.0445039682519911,1.0,1.2158736896991786,3072,3072
3.0,4608,0.011239150132173026,0.011239150132173026,0.015630963347579185,1.0,1.3907602588948624,4608,4608
4.0,6144,0.0031938529386542625,0.0031938529386542625,0.004828540247789337,1.0,1.5118229738604851,6144,6144
5.0,7680,0.0008613431789860071,0.0008613431789860071,0.0013113795380838011,1.0,1.5224820606666754,7680,7680
6.0,9216,0.00022524443262372795,0.00022524443262372795,0.0003127176172322832,1.0,1.3883478210299638,9216,9216
8.0,12288,3.71719204545063e-05,3.71719204545063e-05,3.71719204545063e-05,1.0,1.0,12288,12288
