config,bpd,alloc,codebook,mse,r@1,r@10,r@100
DP+default,2,DP,default,6.903994846022892e-05,0.921,0.9343999999999925,0.9485800000000082
DP+kmeans,2,DP,kmeans,6.927330967553135e-05,0.927,0.937399999999992,0.9489300000000093
greedy+default,2,greedy,default,5.973590504039417e-05,0.913,0.922299999999991,0.9341300000000037
greedy+kmeans,2,greedy,kmeans,6.130873554884785e-05,0.899,0.9223999999999914,0.9336900000000022
DP+default,4,DP,default,8.284383349948459e-06,0.984,0.9805999999999969,0.9828100000000108
DP+kmeans,4,DP,kmeans,8.26035525260951e-06,0.974,0.9786999999999968,0.9835500000000104
greedy+default,4,greedy,default,5.697242539338391e-06,0.969,0.9709999999999959,0.9751200000000133
greedy+kmeans,4,greedy,kmeans,5.789943215020176e-06,0.96,0.9668999999999954,0.9744500000000134
