dim,bits,var,dp_mse,lloyd_mse,ratio,k_dp,k_lloyd
0,1,0.025575129315257072,0.006475841626524925,0.006475841160863638,0.9999999280925455,2,2
0,2,0.025575129315257072,0.0016237497329711914,0.0016237496165558696,0.9999999283046399,4,4
0,3,0.025575129315257072,0.00046117728925310075,0.000461208721389994,1.0000681562982952,8,8
0,4,0.025575129315257072,0.0001233792572747916,0.00012450982467271388,1.009163350654675,16,16
0,5,0.025575129315257072,3.203494634362869e-05,3.271491368650459e-05,1.0212257993374518,32,32
0,6,0.025575129315257072,8.144856110448018e-06,8.347916264028754e-06,1.024931091578187,64,64
0,7,0.025575129315257072,2.035551005974412e-06,2.1389480480138445e-06,1.0507956036159047,128,128
0,8,0.025575129315257072,5.07000208926911e-07,5.404777425610519e-07,1.0660306111214384,256,256
1,1,0.01785409264266491,0.005168967414647341,0.005168967414647341,1.0,2,2
1,2,0.01785409264266491,0.0015073787653818727,0.0015073817921802402,1.0000020079879304,4,4
1,3,0.01785409264266491,0.00041851415880955756,0.00041888721170835197,1.0008913746188552,8,8
1,4,0.01785409264266491,0.00011142524454044178,0.00011252101103309542,1.0098340954706717,16,16
1,5,0.01785409264266491,2.8845530323451385e-05,3.056187051697634e-05,1.0595010795183604,32,32
1,6,0.01785409264266491,7.321793418668676e-06,7.625668331456836e-06,1.041502797936549,64,64
1,7,0.01785409264266491,1.8306850506633054e-06,1.9398848962737247e-06,1.0596497172306363,128,128
1,8,0.01785409264266491,4.534715003501333e-07,4.916129796583846e-07,1.0841099810656272,256,256
2,1,0.01283538993448019,0.004229158163070679,0.004229158163070679,1.0,2,2
2,2,0.01283538993448019,0.0013395760906860232,0.0013395760906860232,1.0,4,4
2,3,0.01283538993448019,0.00037165090907365084,0.000372120994143188,1.0012648565039404,8,8
2,4,0.01283538993448019,0.00010024038056144491,0.00010100506915478036,1.0076285483859144,16,16
2,5,0.01283538993448019,2.6022593374364078e-05,2.7216883609071374e-05,1.0458943587030738,32,32
2,6,0.01283538993448019,6.673706138826674e-06,6.883301011839649e-06,1.0314060686300797,64,64
2,7,0.01283538993448019,1.6685991113263299e-06,1.7759119828042458e-06,1.064313153920246,128,128
2,8,0.01283538993448019,4.089294236564456e-07,4.44150316525338e-07,1.0861295148536012,256,256
3,1,0.011285204440355301,0.003608640981838107,0.003608640981838107,1.0,2,2
3,2,0.011285204440355301,0.001124152448028326,0.001124152448028326,1.0,4,4
3,3,0.011285204440355301,0.00032454871688969433,0.0003248609136790037,1.0009619412219568,8,8
3,4,0.011285204440355301,8.777392940828577e-05,8.840444206725806e-05,1.0071833705431987,16,16
