bits,ratio_mean,ratio_median,ratio_p95,ratio_max,ratio_varweighted,frac_dims_lloyd_worse_1pct
1,1.000001783047311,1.0,1.0000001278569077,1.0021861542455122,0.9999999859140315,0.0
2,1.0000045088159715,1.0000003303733624,1.000004525136973,1.0026148003534006,1.0000006384083173,0.0
3,1.0003402623475877,1.0002316500638642,1.0009414972448607,1.023833253907549,1.0003381419666248,0.0006510416666666666
4,1.007795852192361,1.0072289543000208,1.0144718921273899,1.1714632532780853,1.0074511137537367,0.24674479166666666
5,1.026968122926635,1.0259424242424635,1.042787315037598,1.1115364915428942,1.0302438177261455,0.986328125
6,1.0365507054193792,1.0352602947264176,1.0543207766383622,1.1376937864447974,1.033760285086202,0.9993489583333334
7,1.0681827760607323,1.0672132236181955,1.0913689288325856,1.2023578653126197,1.0664480571700918,1.0
8,1.0878834344967236,1.0874944121771,1.1105622299870737,1.2411429422503053,1.0852442414935883,1.0
